articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
16-2-2015_PS,0.17,0.17,r,0,MATCH,NA
16-2-2015_PS,0.08,0.09,ci,12.5,MAJOR_ERROR,NA
16-2-2015_PS,0.25,0.25,ci,0,MATCH,NA
16-2-2015_PS,-0.06,-0.06,r,0,MATCH,NA
16-2-2015_PS,-0.15,-0.14,ci,6.66666666666665,MINOR_ERROR,NA
16-2-2015_PS,0.02,0.03,ci,50,MAJOR_ERROR,NA
16-2-2015_PS,0.08,0.1,r,25,MAJOR_ERROR,NA
16-2-2015_PS,-0.01,0.01,ci,200,MAJOR_ERROR,NA
16-2-2015_PS,0.17,0.18,ci,5.88235294117646,MINOR_ERROR,NA
16-2-2015_PS,0.66,0.63,r,4.54545454545455,MINOR_ERROR,NA
16-2-2015_PS,0.61,0.57,ci,6.55737704918033,MINOR_ERROR,NA
16-2-2015_PS,0.71,0.68,ci,4.22535211267604,MINOR_ERROR,NA
16-2-2015_PS,-0.33,-0.33,r,0,MATCH,NA
16-2-2015_PS,-0.41,-0.41,ci,0,MATCH,NA
16-2-2015_PS,-0.25,-0.25,ci,0,MATCH,NA
16-2-2015_PS,0.25,0.26,r,4,MINOR_ERROR,NA
16-2-2015_PS,0.17,0.18,ci,5.88235294117646,MINOR_ERROR,NA
16-2-2015_PS,0.33,0.33,ci,0,MATCH,NA
16-2-2015_PS,0.81,0.8,r,1.23456790123457,MINOR_ERROR,NA
16-2-2015_PS,0.77,0.77,ci,0,MATCH,NA
16-2-2015_PS,0.84,0.83,ci,1.19047619047619,MINOR_ERROR,NA
16-2-2015_PS,0.65,0.65,r,0,MATCH,NA
16-2-2015_PS,0.59,0.59,ci,0,MATCH,NA
16-2-2015_PS,0.7,0.69,ci,1.42857142857143,MINOR_ERROR,NA
16-2-2015_PS,-0.37,-0.35,r,5.40540540540541,MINOR_ERROR,NA
16-2-2015_PS,-0.44,-0.42,ci,4.54545454545455,MINOR_ERROR,NA
16-2-2015_PS,-0.29,-0.27,ci,6.89655172413792,MINOR_ERROR,NA
16-2-2015_PS,0.32,0.34,r,6.25000000000001,MINOR_ERROR,NA
16-2-2015_PS,0.24,0.26,ci,8.33333333333334,MINOR_ERROR,NA
16-2-2015_PS,0.39,0.41,ci,5.12820512820512,MINOR_ERROR,NA
16-9-2014_PS,31656,31572,n,0.265352539802881,MINOR_ERROR,NA
16-9-2014_PS,1469,1463,n,0.408441116405718,MINOR_ERROR,NA
16-9-2014_PS,3676,3661,n,0.408052230685528,MINOR_ERROR,NA
16-9-2014_PS,4411,4402,n,0.204035366130129,MINOR_ERROR,NA
16-9-2014_PS,3307,3198,n,3.29603870577563,MINOR_ERROR,NA
16-9-2014_PS,0.15,0.15,mean,0,MATCH,NA
16-9-2014_PS,0.06,0.06,mean,0,MATCH,NA
16-9-2014_PS,-0.03,-0.03,mean,0,MATCH,NA
16-9-2014_PS,0.04,0.04,mean,0,MATCH,NA
16-9-2014_PS,0.08,0.08,mean,0,MATCH,NA
16-9-2014_PS,0.36,0.36,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.35,0.35,sd,0,MATCH,NA
16-9-2014_PS,31684,31600,n,0.265118040651433,MINOR_ERROR,NA
16-9-2014_PS,1474,1468,n,0.407055630936228,MINOR_ERROR,NA
16-9-2014_PS,3680,3665,n,0.407608695652174,MINOR_ERROR,NA
16-9-2014_PS,4414,4405,n,0.203896692342546,MINOR_ERROR,NA
16-9-2014_PS,3311,3200,n,3.35246149199638,MINOR_ERROR,NA
16-9-2014_PS,-0.01,-0.01,mean,0,MATCH,NA
16-9-2014_PS,0.26,0.26,mean,0,MATCH,NA
16-9-2014_PS,-0.08,-0.08,mean,0,MATCH,NA
16-9-2014_PS,-0.04,-0.04,mean,0,MATCH,NA
16-9-2014_PS,0.04,0.04,mean,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,0.31,0.31,sd,0,MATCH,NA
16-9-2014_PS,0.31,0.31,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,31674,31590,n,0.26520174275431,MINOR_ERROR,NA
16-9-2014_PS,1472,1466,n,0.407608695652174,MINOR_ERROR,NA
16-9-2014_PS,3677,3662,n,0.40794125645907,MINOR_ERROR,NA
16-9-2014_PS,4413,4404,n,0.203942895989123,MINOR_ERROR,NA
16-9-2014_PS,3317,3206,n,3.3463973470003,MINOR_ERROR,NA
16-9-2014_PS,-0.05,-0.05,mean,0,MATCH,NA
16-9-2014_PS,-0.15,-0.15,mean,0,MATCH,NA
16-9-2014_PS,0.22,0.22,mean,0,MATCH,NA
16-9-2014_PS,-0.1,-0.1,mean,0,MATCH,NA
16-9-2014_PS,-0.03,-0.03,mean,0,MATCH,NA
16-9-2014_PS,0.33,0.33,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.33,sd,3.125,MINOR_ERROR,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.34,0.34,sd,0,MATCH,NA
16-9-2014_PS,0.35,0.35,sd,0,MATCH,NA
16-9-2014_PS,31664,31580,n,0.265285497726124,MINOR_ERROR,NA
16-9-2014_PS,1472,1466,n,0.407608695652174,MINOR_ERROR,NA
16-9-2014_PS,3676,3661,n,0.408052230685528,MINOR_ERROR,NA
16-9-2014_PS,4411,4412,n,0.022670596236681,MINOR_ERROR,NA
16-9-2014_PS,3307,3198,n,3.29603870577563,MINOR_ERROR,NA
16-9-2014_PS,-0.09,-0.09,mean,0,MATCH,NA
16-9-2014_PS,-0.16,-0.16,mean,0,MATCH,NA
16-9-2014_PS,-0.11,-0.11,mean,0,MATCH,NA
16-9-2014_PS,0.1,0.1,mean,0,MATCH,NA
16-9-2014_PS,-0.08,-0.08,mean,0,MATCH,NA
16-9-2014_PS,0.29,0.29,sd,0,MATCH,NA
16-9-2014_PS,0.29,0.29,sd,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,0.32,0.32,sd,0,MATCH,NA
16-9-2014_PS,0.3,0.3,sd,0,MATCH,NA
16-9-2014_PS,55.84,55.84,t,0,MATCH,NA
16-9-2014_PS,11.02,11.02,t,0,MATCH,NA
16-9-2014_PS,16.21,16.21,t,0,MATCH,NA
16-9-2014_PS,0.31,0.31,d,0,MATCH,NA
16-9-2014_PS,0.06,0.06,d,0,MATCH,NA
16-9-2014_PS,0.09,0.09,d,0,MATCH,NA
16-9-2014_PS,14.91,14.91,t,0,MATCH,NA
16-9-2014_PS,13.87,13.87,t,0,MATCH,NA
16-9-2014_PS,0.86,0.85,t,1.16279069767442,MINOR_ERROR,NA
16-9-2014_PS,0.39,0.39,d,0,MATCH,NA
16-9-2014_PS,0.36,0.36,d,0,MATCH,NA
16-9-2014_PS,0.02,0.02,d,0,MATCH,NA
16-9-2014_PS,27.2,27.19,t,0.0367647058823456,MINOR_ERROR,NA
16-9-2014_PS,4.82,4.82,t,0,MATCH,NA
16-9-2014_PS,4.06,4.06,t,0,MATCH,NA
16-9-2014_PS,0.45,0.45,d,0,MATCH,NA
16-9-2014_PS,0.08,0.08,d,0,MATCH,NA
16-9-2014_PS,0.07,0.07,d,0,MATCH,NA
16-9-2014_PS,6.6,6.6,t,0,MATCH,NA
16-9-2014_PS,11.1,11.1,t,0,MATCH,NA
16-9-2014_PS,6.87,6.87,t,0,MATCH,NA
16-9-2014_PS,0.1,0.1,d,0,MATCH,NA
16-9-2014_PS,0.17,0.17,d,0,MATCH,NA
16-9-2014_PS,0.1,0.1,d,0,MATCH,NA
16-9-2014_PS,4.24,4.24,t,0,MATCH,NA
16-9-2014_PS,7.43,7.43,t,0,MATCH,NA
16-9-2014_PS,5.59,5.59,t,0,MATCH,NA
16-9-2014_PS,0.08,0.0739600733259669,d,7.54990834254144,MINOR_ERROR,NA
16-9-2014_PS,0.13,0.13,d,0,MATCH,NA
16-9-2014_PS,0.1,0.1,d,0,MATCH,NA
2-10-2014_PS,3.99,3.99,mean,0,MATCH,NA
2-10-2014_PS,1.32,1.32,sd,0,MATCH,NA
2-10-2014_PS,3.74,3.74,ci,0,MATCH,NA
2-10-2014_PS,4.24,4.24,ci,0,MATCH,NA
2-10-2014_PS,4.34,4.34,mean,0,MATCH,NA
2-10-2014_PS,1.32,1.25,sd,5.30303030303031,MINOR_ERROR,NA
2-10-2014_PS,4.1,4.1,ci,0,MATCH,NA
2-10-2014_PS,4.58,4.58,ci,0,MATCH,NA
2-10-2014_PS,0.35,0.35,mean,0,MATCH,NA
2-10-2014_PS,0.11,0.11,ci,0,MATCH,NA
2-10-2014_PS,0.59,0.59,ci,0,MATCH,NA
2-10-2014_PS,3.54,3.54,mean,0,MATCH,NA
2-10-2014_PS,1.01,1.01,sd,0,MATCH,NA
2-10-2014_PS,3.34,3.34,ci,0,MATCH,NA
2-10-2014_PS,3.73,3.73,ci,0,MATCH,NA
2-10-2014_PS,3.82,3.82,mean,0,MATCH,NA
2-10-2014_PS,0.89,0.89,sd,0,MATCH,NA
2-10-2014_PS,3.65,3.65,ci,0,MATCH,NA
2-10-2014_PS,4,3.99,ci,0.249999999999995,MINOR_ERROR,NA
2-10-2014_PS,0.29,0.29,mean,0,MATCH,NA
2-10-2014_PS,0.1,0.1,ci,0,MATCH,NA
2-10-2014_PS,0.47,0.47,ci,0,MATCH,NA
2-10-2014_PS,2.84,2.84,mean,0,MATCH,NA
2-10-2014_PS,2.64,2.64,ci,0,MATCH,NA
2-10-2014_PS,3.05,3.05,ci,0,MATCH,NA
2-10-2014_PS,3.25,3.25,mean,0,MATCH,NA
2-10-2014_PS,3.06,3.06,ci,0,MATCH,NA
2-10-2014_PS,3.44,3.44,ci,0,MATCH,NA
2-10-2014_PS,0.4,0.4,mean,0,MATCH,NA
2-10-2014_PS,0.19,0.19,ci,0,MATCH,NA
2-10-2014_PS,0.62,0.62,ci,0,MATCH,NA
2-10-2014_PS,3.81,3.81,mean,0,MATCH,NA
2-10-2014_PS,3.6,3.61,ci,0.277777777777772,MINOR_ERROR,NA
2-10-2014_PS,4.03,4.02,ci,0.248138957816394,MINOR_ERROR,NA
2-10-2014_PS,4.04,4.04,mean,0,MATCH,NA
2-10-2014_PS,3.84,3.85,ci,0.260416666666673,MINOR_ERROR,NA
2-10-2014_PS,4.23,4.23,ci,0,MATCH,NA
2-10-2014_PS,0.22,0.22,mean,0,MATCH,NA
2-10-2014_PS,0.03,0.03,ci,0,MATCH,NA
2-10-2014_PS,0.42,0.41,ci,2.38095238095238,MINOR_ERROR,NA
2-10-2014_PS,3.95,3.95,mean,0,MATCH,NA
2-10-2014_PS,3.73,3.73,ci,0,MATCH,NA
2-10-2014_PS,4.18,4.17,ci,0.23923444976076,MINOR_ERROR,NA
2-10-2014_PS,4.19,4.19,mean,0,MATCH,NA
2-10-2014_PS,4,4,ci,0,MATCH,NA
2-10-2014_PS,4.38,4.38,ci,0,MATCH,NA
2-10-2014_PS,0.23,0.23,mean,0,MATCH,NA
2-10-2014_PS,0.02,0.02,ci,0,MATCH,NA
2-10-2014_PS,0.45,0.45,ci,0,MATCH,NA
2-10-2014_PS,105,105,df,0,MATCH,NA
2-10-2014_PS,2.88,2.88,t,0,MATCH,NA
2-10-2014_PS,0.005,0.005,p,0,MATCH,NA
2-10-2014_PS,0.27,0.27,d,0,MATCH,NA
2-10-2014_PS,105,105,df,0,MATCH,NA
2-10-2014_PS,3.1,3.1,t,0,MATCH,NA
2-10-2014_PS,0.003,0.003,p,0,MATCH,NA
2-10-2014_PS,0.29,0.3,d,3.44827586206897,MINOR_ERROR,NA
2-10-2014_PS,<.001,0.000370190555009541,p,NA,MATCH,TRUE
2-10-2014_PS,<.001,0.000370190555009541,p,NA,MATCH,TRUE
2-10-2014_PS,0.02,0.02,p,0,MATCH,NA
2-10-2014_PS,0.03,0.03,p,0,MATCH,NA
2-2-2015_PS,67,67,mean,0,MATCH,NA
2-2-2015_PS,60,60,mean,0,MATCH,NA
2-2-2015_PS,56,56,mean,0,MATCH,NA
2-2-2015_PS,85,85,mean,0,MATCH,NA
2-2-2015_PS,69.5,69.5,mean,0,MATCH,NA
2-2-2015_PS,68.54,68.55,mean,0.0145900204260153,MINOR_ERROR,NA
2-2-2015_PS,9,9,df,0,MATCH,NA
2-2-2015_PS,-0.46,-0.46,t,0,MATCH,NA
2-2-2015_PS,0.33,0.33,p,0,MATCH,NA
2-2-2015_PS,81.22,81.22,mean,0,MATCH,NA
2-2-2015_PS,61.35,61.35,mean,0,MATCH,NA
2-2-2015_PS,8,8,df,0,MATCH,NA
2-2-2015_PS,-2.5,-2.5,t,0,MATCH,NA
2-2-2015_PS,0.02,0.02,p,0,MATCH,NA
3-10-2014_PS,figure,0.684,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.051,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.648,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.068,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.564,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.07,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.41,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.056,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.696,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.045,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.737,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.063,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.727,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.072,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.686,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.086,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.947,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.016,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.958,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.014,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.976,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.007,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.972,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.013,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.67,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.06,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.552,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.077,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.476,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.088,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.684,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.051,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.422,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.076,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.634,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.066,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.36,mean,NA,MATCH,TRUE
